,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,butaritari,3.0707,172.7902,81.12,77,100,16.96,KI,1612038660
84,new norfolk,-42.7826,147.0587,55.0,71,10,1.01,AU,1612038660
85,sinnamary,5.3833,-52.95,78.91,87,100,12.91,GF,1612038660
86,hobyo,5.3505,48.5268,75.51,78,7,15.12,SO,1612038661
87,bo phloi,14.3236,99.5161,77.0,53,0,3.36,TH,1612038661
88,saint george,37.1041,-113.5841,48.99,75,1,0.49,US,1612038661
89,upernavik,72.7868,-56.1549,-9.85,85,4,7.05,GL,1612038661
90,avarua,-21.2078,-159.775,84.2,70,20,3.44,CK,1612038461
91,kyzyl-suu,42.3414,78.0056,21.27,67,53,9.51,KG,1612038661
92,kysyl-syr,63.8986,122.7617,-52.22,76,51,2.84,RU,1612038662
93,margate,51.3813,1.3862,39.99,81,100,4.0,GB,1612038608
94,beira,-19.8436,34.8389,82.4,83,20,9.22,MZ,1612038662
95,huaraz,-9.5333,-77.5333,58.15,60,85,2.55,PE,1612038662
96,la rioja,42.25,-2.5,39.0,86,0,7.0,ES,1612038491
97,geraldton,-28.7667,114.6,84.2,24,0,18.41,AU,1612038664
98,sur,22.5667,59.5289,66.83,56,0,9.98,OM,1612038664
99,vaini,-21.2,-175.2,78.8,94,75,6.91,TO,1612038449
100,port alfred,-33.5906,26.891,64.99,91,49,1.01,ZA,1612038664
101,aracati,-4.5617,-37.7697,82.22,70,20,12.33,BR,1612038664
102,nanortalik,60.1432,-45.2371,31.01,91,100,9.66,GL,1612038664
103,bambous virieux,-20.3428,57.7575,78.8,89,75,8.05,MU,1612038664
104,clyde river,70.4692,-68.5914,-20.2,76,1,2.3,CA,1612038665
105,kieta,-6.2167,155.6333,81.79,78,81,13.96,PG,1612038665
106,college,64.8569,-147.8028,-5.01,77,75,0.63,US,1612038483
107,nome,64.5011,-165.4064,-16.6,76,1,2.21,US,1612038665
108,kudahuvadhoo,2.6708,72.8944,80.94,78,85,12.46,MV,1612038665
109,hailar,49.2,119.7,-19.39,87,100,6.11,CN,1612038665
110,nyurba,63.2842,118.3319,-38.25,81,100,2.06,RU,1612038666
111,krasnoselkup,65.7,82.4667,-29.2,81,93,9.53,RU,1612038666
112,chinhoyi,-17.3667,30.2,67.59,94,100,4.61,ZW,1612038666
113,smithers,54.7804,-127.1743,15.8,73,75,4.61,CA,1612038666
114,najran,17.4924,44.1277,68.0,24,0,4.61,SA,1612038666
115,hithadhoo,-0.6,73.0833,82.31,77,45,15.43,MV,1612038505
116,gravdal,68.1214,13.5031,26.55,87,1,6.96,NO,1612038666
117,dingle,10.9995,122.6711,71.4,90,100,9.86,PH,1612038667
118,pisco,-13.7,-76.2167,80.6,54,0,11.5,PE,1612038667
119,ohara,35.25,140.3833,35.6,64,20,3.44,JP,1612038667
120,tungor,53.3808,142.9564,-7.76,89,100,15.99,RU,1612038667
121,lima,-12.0432,-77.0282,78.01,57,0,11.5,PE,1612038668
122,faanui,-16.4833,-151.75,81.28,70,93,6.51,PF,1612038668
123,kirakira,-10.4544,161.9205,78.87,82,100,4.52,SB,1612038472
124,lodja,-3.4833,23.4333,70.03,96,100,2.55,CD,1612038668
125,chiredzi,-21.05,31.6667,74.77,86,74,6.06,ZW,1612038662
126,coihaique,-45.5752,-72.0662,73.4,27,20,9.22,CL,1612038668
